Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,WHH,WHD,WHA
26/11/2023,Hoffenheim,Mainz,D,1.85,3.8,3.8,1.8,4,3.7
01/12/2023,Darmstadt,FC Koln,A,2.63,3.4,2.6,2.62,3.5,2.45
02/12/2023,Bochum,Wolfsburg,H,2.63,3.6,2.55,2.6,3.5,2.45
02/12/2023,M'gladbach,Hoffenheim,H,2.2,4,2.88,2.2,4,2.7
02/12/2023,RB Leipzig,Heidenheim,H,1.25,7,9,1.2,6.5,11
02/12/2023,Stuttgart,Werder Bremen,H,1.4,5.25,6.5,1.4,5,6.5
03/12/2023,Mainz,Freiburg,A,2.3,3.4,3.1,2.25,3.5,2.9
03/12/2023,Leverkusen,Dortmund,D,1.62,4.5,4.75,1.6,4.4,4.4
03/12/2023,Augsburg,Ein Frankfurt,H,2.63,3.6,2.55,2.6,3.5,2.5
08/12/2023,Hoffenheim,Bochum,H,1.67,4.2,4.75,1.67,4.2,4.2
09/12/2023,Ein Frankfurt,Bayern Munich,H,9,5.5,1.3,8.5,5.8,1.29
09/12/2023,Heidenheim,Darmstadt,H,2.05,3.5,3.5,2,3.6,3.4
09/12/2023,Union Berlin,M'gladbach,H,2.1,3.5,3.4,2.1,3.6,3.1
09/12/2023,Werder Bremen,Augsburg,H,2.38,3.6,2.8,2.3,3.75,2.62
09/12/2023,Wolfsburg,Freiburg,A,2.25,3.5,3.1,2.15,3.6,3
09/12/2023,Dortmund,RB Leipzig,A,2.6,3.6,2.55,2.4,4,2.45
10/12/2023,Stuttgart,Leverkusen,D,2.9,3.6,2.3,2.8,3.8,2.2
10/12/2023,FC Koln,Mainz,D,2.3,3.5,3,2.25,3.5,2.88
15/12/2023,M'gladbach,Werder Bremen,D,2,4,3.3,1.91,4,3.4
16/12/2023,Augsburg,Dortmund,D,3.5,4.2,1.91,3.3,4.2,1.91
16/12/2023,Bochum,Union Berlin,H,2.7,3.4,2.6,2.5,3.4,2.6
16/12/2023,Darmstadt,Wolfsburg,A,3.1,3.6,2.2,3.1,3.6,2.1
16/12/2023,Mainz,Heidenheim,A,1.67,4.2,4.75,1.65,4,4.5
16/12/2023,RB Leipzig,Hoffenheim,H,1.45,5,6,1.4,5.5,6
17/12/2023,Freiburg,FC Koln,H,1.8,3.8,4.2,1.8,3.7,4
17/12/2023,Leverkusen,Ein Frankfurt,H,1.36,5,8.5,1.3,5.5,8
17/12/2023,Bayern Munich,Stuttgart,H,1.45,5.25,5.5,1.4,5,6
19/12/2023,Werder Bremen,RB Leipzig,D,5,4.5,1.57,5,4.5,1.53
19/12/2023,Dortmund,Mainz,D,1.55,4.75,5.25,1.5,4.75,5
19/12/2023,Hoffenheim,Darmstadt,D,1.44,5,6.5,1.44,4.75,6
20/12/2023,Union Berlin,FC Koln,H,1.95,3.6,3.8,1.91,3.6,3.75
20/12/2023,Ein Frankfurt,M'gladbach,H,1.83,4,3.8,1.8,4,3.75
20/12/2023,Heidenheim,Freiburg,H,2.8,3.6,2.38,2.75,3.6,2.3
20/12/2023,Leverkusen,Bochum,H,1.17,8,15,1.15,7.5,13
20/12/2023,Stuttgart,Augsburg,H,1.36,5.25,7.5,1.33,5.5,7.5
20/12/2023,Wolfsburg,Bayern Munich,A,6.5,5.75,1.36,7.5,5.8,1.3
12/01/2024,Bayern Munich,Hoffenheim,H,1.14,9,12,1.11,9,15
13/01/2024,Augsburg,Leverkusen,A,5.25,4.75,1.5,5.5,4.5,1.5
13/01/2024,FC Koln,Heidenheim,D,2.05,3.6,3.4,2,3.7,3.25
13/01/2024,Freiburg,Union Berlin,D,2.05,3.6,3.5,2,3.5,3.4
13/01/2024,Mainz,Wolfsburg,D,2.2,3.4,3.25,2.1,3.5,3.2
13/01/2024,RB Leipzig,Ein Frankfurt,A,1.45,4.5,7.5,1.36,5,7
13/01/2024,Darmstadt,Dortmund,A,5.25,4.5,1.53,5,4.5,1.53
14/01/2024,Bochum,Werder Bremen,D,2.15,3.6,3.1,2.1,3.6,3.1
14/01/2024,M'gladbach,Stuttgart,H,3.5,4,1.91,3.5,4,1.85
20/01/2024,Bochum,Stuttgart,H,3.6,3.8,1.95,3.6,3.9,1.85
20/01/2024,Darmstadt,Ein Frankfurt,D,3.8,3.75,1.91,3.6,3.7,1.91
20/01/2024,FC Koln,Dortmund,A,4.5,4,1.73,4.2,4.2,1.67
20/01/2024,Freiburg,Hoffenheim,H,2,3.8,3.4,1.95,3.8,3.3
20/01/2024,Heidenheim,Wolfsburg,D,2.7,3.5,2.55,2.62,3.6,2.38
20/01/2024,RB Leipzig,Leverkusen,A,2.4,3.8,2.7,2.38,3.7,2.62
21/01/2024,Bayern Munich,Werder Bremen,A,1.09,11,21,1.05,12,23
21/01/2024,M'gladbach,Augsburg,A,1.91,3.8,3.8,1.85,4,3.5
24/01/2024,Bayern Munich,Union Berlin,H,1.18,7,17,1.12,8,17
26/01/2024,Ein Frankfurt,Mainz,H,2.15,3.4,3.5,2,3.5,3.5
27/01/2024,Augsburg,Bayern Munich,A,8.5,5.75,1.3,10,6,1.22
27/01/2024,Hoffenheim,Heidenheim,D,1.67,4.5,4.33,1.65,4.2,4.4
27/01/2024,Stuttgart,RB Leipzig,H,2.63,3.8,2.4,2.6,3.8,2.38
27/01/2024,Werder Bremen,Freiburg,H,2.4,3.5,2.88,2.45,3.5,2.6
27/01/2024,Wolfsburg,FC Koln,D,1.83,3.75,4.2,1.75,3.9,4
27/01/2024,Leverkusen,M'gladbach,D,1.29,5.5,10,1.25,6,9
28/01/2024,Union Berlin,Darmstadt,H,1.62,3.8,5.75,1.55,4,5.5
28/01/2024,Dortmund,Bochum,H,1.36,5.5,7.5,1.33,5.5,7
02/02/2024,Heidenheim,Dortmund,D,3.75,4.5,1.8,4,4.2,1.7
03/02/2024,Bayern Munich,M'gladbach,H,1.14,9.5,13,1.11,8.5,17
03/02/2024,Bochum,Augsburg,D,2.15,3.4,3.4,2.1,3.6,3.1
03/02/2024,Darmstadt,Leverkusen,A,9.5,6.5,1.25,8.5,6,1.25
03/02/2024,Freiburg,Stuttgart,A,3.1,3.6,2.2,3,3.6,2.15
03/02/2024,Mainz,Werder Bremen,A,2.1,3.5,3.5,2,3.5,3.4
03/02/2024,FC Koln,Ein Frankfurt,H,3.25,3.4,2.2,3,3.5,2.2
04/02/2024,Wolfsburg,Hoffenheim,D,2.1,3.75,3.2,2.05,3.8,3.1
04/02/2024,RB Leipzig,Union Berlin,H,1.4,5,7.5,1.36,4.8,7.5
07/02/2024,Mainz,Union Berlin,D,2.15,3.3,3.5,2.05,3.4,3.4
09/02/2024,Dortmund,Freiburg,H,1.45,4.75,6.5,1.4,4.8,6.5
10/02/2024,Augsburg,RB Leipzig,D,4,4.2,1.75,4.2,4.2,1.67
10/02/2024,Ein Frankfurt,Bochum,D,1.73,3.8,4.75,1.7,3.8,4.4
10/02/2024,M'gladbach,Darmstadt,D,1.6,4.5,5,1.55,4.2,5.5
10/02/2024,Union Berlin,Wolfsburg,H,2.25,3.4,3.2,2.2,3.4,3.1
10/02/2024,Werder Bremen,Heidenheim,A,1.8,3.8,4.33,1.75,3.9,4
10/02/2024,Leverkusen,Bayern Munich,H,2.63,3.8,2.4,2.5,3.9,2.38
11/02/2024,Stuttgart,Mainz,H,1.44,4.5,7.5,1.4,4.75,6.5
11/02/2024,Hoffenheim,FC Koln,D,1.8,3.8,4.33,1.73,4,4
16/02/2024,FC Koln,Werder Bremen,A,2.4,3.4,2.88,2.45,3.4,2.7
