Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,WHH,WHD,WHA
11/11/2023,Osasuna,Las Palmas,D,1.95,3.4,4,1.91,3.3,4
11/11/2023,Real Madrid,Valencia,H,1.33,5.5,8.5,1.29,5.5,9.5
12/11/2023,Barcelona,Alaves,H,1.25,6,11,1.22,5.8,12
12/11/2023,Sevilla,Betis,D,2.05,3.5,3.6,2.05,3.5,3.3
12/11/2023,Ath Madrid,Villarreal,H,1.36,5.5,7.5,1.33,5,8
24/11/2023,Alaves,Granada,H,1.7,3.6,5,1.65,3.7,5
25/11/2023,Vallecano,Barcelona,D,5.25,4,1.65,4.8,4.2,1.6
25/11/2023,Valencia,Celta,D,2.2,3.25,3.5,2.1,3.4,3.25
25/11/2023,Getafe,Almeria,H,1.65,3.75,5.5,1.62,3.8,5.5
25/11/2023,Ath Madrid,Mallorca,H,1.33,5,9.5,1.33,4.75,8.5
26/11/2023,Villarreal,Osasuna,H,2.15,3.5,3.3,2.15,3.5,3.1
26/11/2023,Sociedad,Sevilla,H,1.75,3.6,4.75,1.7,3.6,4.75
26/11/2023,Cadiz,Real Madrid,A,6,4.5,1.5,6,4.4,1.5
26/11/2023,Betis,Las Palmas,H,1.7,3.75,5.25,1.65,3.7,5
27/11/2023,Girona,Ath Bilbao,D,2.25,3.5,3.1,2.25,3.6,2.88
29/11/2023,Mallorca,Cadiz,D,1.95,3.2,4.33,1.91,3.3,4.2
01/12/2023,Las Palmas,Getafe,H,2.38,2.9,3.4,2.38,3,3.2
02/12/2023,Girona,Valencia,H,1.7,4,4.75,1.65,3.9,4.75
02/12/2023,Ath Bilbao,Vallecano,H,1.57,4.2,5.75,1.57,4,5.5
02/12/2023,Real Madrid,Granada,H,1.17,8,15,1.11,8.5,17
02/12/2023,Osasuna,Sociedad,D,3.4,3.25,2.2,3.3,3.2,2.2
03/12/2023,Mallorca,Alaves,D,2.45,3,3.25,2.4,3,3.1
03/12/2023,Almeria,Betis,D,3.2,3.6,2.2,3.1,3.7,2.1
03/12/2023,Sevilla,Villarreal,D,2,3.6,3.6,2.05,3.75,3.1
03/12/2023,Barcelona,Ath Madrid,H,2,3.75,3.5,1.95,3.7,3.5
04/12/2023,Celta,Cadiz,D,1.57,3.8,6.5,1.57,3.9,5.5
08/12/2023,Getafe,Valencia,H,2.6,2.9,3.1,2.5,2.9,3
09/12/2023,Alaves,Las Palmas,A,2.1,3,4.2,1.95,3.25,3.9
09/12/2023,Betis,Real Madrid,D,4.2,3.8,1.8,4,3.9,1.75
09/12/2023,Villarreal,Sociedad,A,3.4,3.4,2.1,3.3,3.5,2.05
09/12/2023,Mallorca,Sevilla,H,2.75,3.1,2.75,2.6,3.2,2.62
10/12/2023,Ath Madrid,Almeria,H,1.22,6.5,12,1.2,6.5,11
10/12/2023,Cadiz,Osasuna,D,2.9,3.1,2.55,2.8,3.2,2.45
10/12/2023,Barcelona,Girona,A,1.53,5,5.5,1.44,4.75,5.5
11/12/2023,Granada,Ath Bilbao,D,5,4,1.67,4.5,4,1.65
11/12/2023,Vallecano,Celta,D,2.45,3.1,3.1,2.3,3.4,2.88
15/12/2023,Osasuna,Vallecano,H,2.2,3.2,3.5,2.1,3.25,3.4
16/12/2023,Celta,Granada,H,1.67,4,5,1.62,4,4.75
16/12/2023,Ath Bilbao,Ath Madrid,H,2.45,3.3,2.9,2.3,3.5,2.8
16/12/2023,Sevilla,Getafe,A,1.95,3.4,4.2,1.85,3.5,4
16/12/2023,Valencia,Barcelona,D,5,3.8,1.67,4.8,4,1.62
17/12/2023,Almeria,Mallorca,D,2.7,3.2,2.7,2.6,3.3,2.6
17/12/2023,Sociedad,Betis,D,1.7,4,5,1.65,3.8,4.8
17/12/2023,Las Palmas,Cadiz,D,1.91,3.3,4.33,1.91,3.4,4
17/12/2023,Real Madrid,Villarreal,H,1.29,6,9,1.22,6.5,9.5
18/12/2023,Girona,Alaves,H,1.53,4,6.5,1.5,4.33,5.8
19/12/2023,Vallecano,Valencia,A,2.2,3.2,3.5,2.1,3.25,3.4
19/12/2023,Ath Madrid,Getafe,D,1.45,4.33,7.5,1.4,4.4,7.5
19/12/2023,Granada,Sevilla,A,2.8,3.4,2.5,2.75,3.25,2.45
20/12/2023,Barcelona,Almeria,H,1.14,8.5,15,1.1,9,17
20/12/2023,Ath Bilbao,Las Palmas,H,1.36,5,7,1.33,4.75,8.5
20/12/2023,Villarreal,Celta,H,2.4,3.6,2.88,2.38,3.5,2.7
21/12/2023,Betis,Girona,D,2.8,3.5,2.38,2.62,3.6,2.38
21/12/2023,Cadiz,Sociedad,D,4.75,3.1,1.75,4.33,3.5,1.8
21/12/2023,Alaves,Real Madrid,A,5.75,4,1.53,5.5,4.33,1.5
21/12/2023,Mallorca,Osasuna,H,2.3,2.9,3.3,2.25,3.1,3.2
23/12/2023,Ath Madrid,Sevilla,H,1.53,4.33,5.75,1.5,4.33,5.8
02/01/2024,Getafe,Vallecano,A,2.38,3,3.3,2.3,3,3.3
02/01/2024,Sociedad,Alaves,D,1.6,3.75,6.5,1.53,3.75,6.5
02/01/2024,Valencia,Villarreal,H,2.05,3.5,3.6,2,3.5,3.4
03/01/2024,Granada,Cadiz,H,2.25,3.1,3.5,2.15,3.2,3.4
03/01/2024,Celta,Betis,H,2.4,3.3,3,2.3,3.4,2.9
03/01/2024,Real Madrid,Mallorca,H,1.2,6.5,15,1.2,6,13
03/01/2024,Girona,Ath Madrid,H,2.55,3.6,2.63,2.45,3.5,2.6
04/01/2024,Osasuna,Almeria,H,1.7,4,4.75,1.65,3.9,4.6
04/01/2024,Sevilla,Ath Bilbao,A,3,3.3,2.38,3,3.4,2.25
04/01/2024,Las Palmas,Barcelona,A,5.5,4.33,1.57,5.5,4.2,1.53
12/01/2024,Sevilla,Alaves,A,1.91,3.4,4.2,1.91,3.3,4
13/01/2024,Las Palmas,Villarreal,H,2.5,3.3,2.8,2.45,3.25,2.8
13/01/2024,Mallorca,Celta,D,2.5,3.1,3,2.5,3,2.9
13/01/2024,Ath Bilbao,Sociedad,H,2,3.4,3.8,1.95,3.4,3.7
13/01/2024,Betis,Granada,H,1.62,4.2,4.75,1.57,4,5.5
14/01/2024,Almeria,Girona,D,4.5,4,1.7,4.33,4.2,1.65
